EL1: Electronic Ladder,A1: Melano KF No DNAse 4,B1: Melano KF No DNAse 6,C1: Melano KF Yes DNAse 1,D1: Melano KF Yes DNAse 3,E1: Melano D No DNAse 1,F1: Melano D No DNAse 5,G1: Melano D Yes DNAse 2,H1: Melano D Yes DNAse 5
0,0,0,0,0,0,0,0,0
0.02077436,0,0,0,0,0,0,0,0
0.003890991,0,0,0,0,0,0,0,0
0.004443645,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.001514435,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.01468706,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.04919553,0,0,0,0,0,0,0,0
0.07778025,0,0,0,0,0,0,0,0
0.06287456,0,0,0,0,0,0,0,0
0.143337,0,0,0,0,0,0,0,0
0.3017426,0,0,0,0,0,0,0,0
0.3133645,0,0,0,0,0,0,0,0
0.5862446,0,0,0,0,0,0,0,0
0.6384296,0,0,0,0,0,0,0,0
0.623435,0,0,0,0,0,0,0,0
0.7074766,0,0,0,0,0,0,0,0
0.7385635,0,0,0,0,0,0,0,0
0.6728959,0,0,0,0,0,0,0,0
0.53194,0,0,0,0,0,0,0,0
0.603312,0,0,0,0,0,0,0,0
0.523931,0,0,0,0,0,0,0,0
0.4217887,0,0,0,0,0,0,0,0
0.5978866,0,0,0,0,0,0,0,0
0.5986304,0,0,0,0,0,0,0,0
0.463788,0,0,0,0,0,0,0,0
0.5425901,0,0,0,0,0,0,0,0
0.5230641,0,0,0,0,0,0,0,0
0.4018135,0,0,0,0,0,0,0,0
0.447835,0,0,0,0,0,0,0,0
0.4380507,0,0,0,0,0,0,0,0
0.3837314,0,0,0,0,0,0,0,0
0.4111743,0,0,0,0,0,0,0,0
0.4198155,0,0,0,0,0,0,0,0
0.2100549,0,0,0,0,0,0,0,0
0.1311512,0,0,0,0,0,0,0,0
0.1020811,0,0,0,0,0,0,0,0
0.002857685,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.08973789,0,0,0,0,0,0,0,0
0.1419425,0,0,0,0,0,0,0,0
0.0909667,0,0,0,0,0,0,0,0
0.1482263,0.08774495,0.1938505,0,0.01630783,0.1064262,0.03995466,0,0.03971338
0.2121367,0.1561294,0.261723,0,0,0.2037263,0.1239653,0.07202864,0.101615
0.01945496,0.2457151,0.3525848,0,0,0.2656698,0.1755033,0.193984,0.09477854
0,0.3091884,0.3901534,0.07455015,0,0.3784285,0.1048217,0.3768449,0.1602273
0,0.3399892,0.3286548,0.08585024,0,0.4346466,0.09898949,0.4992356,0.2018571
0,0.4047766,0.1597028,0.05957174,0,0.3236451,0.06444788,0.575726,0.1560936
0.08420372,0.3630652,0.03816462,0,0,0.2789531,0,0.5496688,0.218513
0.03852177,0.3730631,0,0,0.07711744,0.09778166,0.04514074,0.4763198,0.2779527
0.1143756,0.2469563,0.03244305,0,0.0557971,0.09228706,0.02999926,0.3900218,0.2887497
0.2220144,0.1925364,0.00658083,0,0.05973864,0.02604246,0.03710842,0.2222257,0.3098235
0.4593344,0.06638646,0,0.05274343,0.2056842,0.01373816,0.1059093,0.1767974,0.3289251
0.3339543,0.004356384,0,0.02542973,0.2762828,0.007374763,0.2068715,0.09684467,0.2603016
0.2182727,0,0.09614706,0.04902649,0.3882599,0.01849365,0.1377683,0.129776,0.1898279
0.2291179,0,0.2319794,0.2507372,0.4097767,0.1757526,0.01478338,0.212317,0.1582241
0.2393465,0,0.2080035,0.1992865,0.4643192,0.2256598,0.09047937,0.2309108,0.09662914
0.2078538,0.08565569,0.1803741,0.09075356,0.3079481,0.2229214,0,0.3439822,0.06078625
0.1527991,0.06825709,0.2079844,0.01503706,0.3052435,0.2729149,0,0.3812666,0.02022171
0,0.02639747,0.2569094,0,0.2605357,0.1430721,0,0.478334,0.1541471
0.02681494,0.04442525,0.2774968,0,0.0789628,0.1482406,0,0.5386596,0.2106848
0,0.05208659,0.1289129,0.04285765,0.02753401,0.04852962,0.05892086,0.4190092,0.2079964
0,0.06259036,0,0.08505917,0.001726866,0,0.2007146,0.3345108,0.1231813
0,0.1335664,0.1441464,0.01510334,0,0,0.2768316,0.2095609,0.04000235
0.004436493,0.05847859,0.03117895,0.08104229,0.04283428,0.001552105,0.126864,0.1501846,0.003788471
